world,count,mean,median,min,max,speedup_vs_1,efficiency_vs_1
1,1,605.3533658981323,605.3533658981323,605.3533658981323,605.3533658981323,1.0,1.0
2,1,316.7973909378052,316.7973909378052,316.7973909378052,316.7973909378052,1.9108533820500355,0.9554266910250178
3,1,221.9055209159851,221.9055209159851,221.9055209159851,221.9055209159851,2.727977940338506,0.9093259801128353
4,1,195.69295167922976,195.69295167922976,195.69295167922976,195.69295167922976,3.0933835925291664,0.7733458981322916
5,1,266.49610209465027,266.49610209465027,266.49610209465027,266.49610209465027,2.2715280303917225,0.45430560607834447
