world,count,mean,median,min,max
1,1,605.3533658981323,605.3533658981323,605.3533658981323,605.3533658981323
2,1,316.7973909378052,316.7973909378052,316.7973909378052,316.7973909378052
3,1,221.9055209159851,221.9055209159851,221.9055209159851,221.9055209159851
4,1,195.69295167922976,195.69295167922976,195.69295167922976,195.69295167922976
5,1,266.49610209465027,266.49610209465027,266.49610209465027,266.49610209465027
