timestamp,host,world,activation,hidden,batch,lr,epochs_run,train_rmse,test_rmse,train_time_s
2025-10-03T14:07:42Z,192.168.1.12,1,tanh,100,32,0.0003,5,3.2376999544318363,3.242346989966228,357.6851360797882
2025-10-03T14:11:18Z,192.168.1.12,1,tanh,100,64,0.0003,5,3.3457636377185755,3.351949716512215,202.54996609687805
2025-10-03T14:13:36Z,192.168.1.12,1,tanh,100,128,0.0003,5,3.4506015996322956,3.4537382016661033,125.49023985862732
2025-10-03T14:15:10Z,192.168.1.12,1,tanh,100,256,0.0003,5,3.6618161652579064,3.660832650426889,81.38230395317078
2025-10-03T14:16:21Z,192.168.1.12,1,tanh,100,512,0.0003,5,3.926431211300108,3.919682972277353,58.57450866699219
2025-10-03T14:19:53Z,192.168.1.12,2,tanh,100,32,0.0003,5,3.3018440038896992,7.510355274082802,200.47625303268433
2025-10-03T14:21:58Z,192.168.1.12,2,tanh,100,64,0.0003,5,3.4503317540569283,8.211688389870837,112.76050305366516
2025-10-03T14:23:19Z,192.168.1.12,2,tanh,100,128,0.0003,5,3.6813614381048145,8.373077167622922,70.04877996444702
2025-10-03T14:24:15Z,192.168.1.12,2,tanh,100,256,0.0003,5,3.9402758672387233,9.053811786321841,45.15163207054138
2025-10-03T14:24:59Z,192.168.1.12,2,tanh,100,512,0.0003,5,4.248258887288988,9.24492106918473,32.48753213882446
2025-10-03T14:27:44Z,192.168.1.12,3,tanh,100,32,0.0003,5,3.422671834644074,8.005487229097362,152.14900469779968
2025-10-03T14:29:20Z,192.168.1.12,3,tanh,100,64,0.0003,5,3.6293447344735177,7.429462615549591,83.93860507011414
2025-10-03T14:30:25Z,192.168.1.12,3,tanh,100,128,0.0003,5,3.8883666032347826,7.992330233769284,51.936662912368774
2025-10-03T14:31:10Z,192.168.1.12,3,tanh,100,256,0.0003,5,4.18963846395699,8.551252908504356,33.162108182907104
2025-10-03T14:31:47Z,192.168.1.12,3,tanh,100,512,0.0003,5,4.5135556640685675,8.885872651692807,24.01546812057495
2025-10-03T14:34:03Z,192.168.1.12,4,tanh,100,32,0.0003,5,3.526648794535316,8.156311712986248,121.03732395172119
2025-10-03T14:35:27Z,192.168.1.12,4,tanh,100,64,0.0003,5,3.742736374386877,8.411867844058499,69.11483693122864
2025-10-03T14:36:29Z,192.168.1.12,4,tanh,100,128,0.0003,5,4.000925088924685,8.957757987083962,46.876134157180786
2025-10-03T14:37:14Z,192.168.1.12,4,tanh,100,256,0.0003,5,4.304399604013644,9.397149401233492,30.226865768432617
2025-10-03T14:37:50Z,192.168.1.12,4,tanh,100,512,0.0003,5,4.633703131987839,9.573380006191961,21.37545895576477
2025-10-03T15:01:46Z,192.168.1.12,1,tanh,100,32,0.0003,20,3.1055172816615024,3.1190346436500933,1425.1490938663483
2025-10-03T15:11:43Z,192.168.1.12,1,relu,228,32,0.0003,5,3.3464391089190197,3.364153670209103,415.0142767429352
2025-10-03T15:16:00Z,192.168.1.12,1,relu,228,64,0.0003,5,3.411005622667934,3.4272119823632923,241.37004280090332
2025-10-03T15:18:53Z,192.168.1.12,1,relu,228,128,0.0003,5,3.4893367681917766,3.502155007551567,157.2191071510315
2025-10-03T15:20:59Z,192.168.1.12,1,relu,228,256,0.0003,5,3.594042979538781,3.6066909607589706,110.9433240890503
2025-10-03T15:22:41Z,192.168.1.12,1,relu,228,512,0.0003,5,3.7269273284544875,3.7364139817720328,86.73659801483154
2025-10-03T15:26:47Z,192.168.1.12,2,relu,228,32,0.0003,5,3.495346500092901,4.235311489869879,230.07068729400635
2025-10-03T15:29:18Z,192.168.1.12,2,relu,228,64,0.0003,5,3.604790659506518,4.365771199986795,135.18502187728882
2025-10-03T15:31:00Z,192.168.1.12,2,relu,228,128,0.0003,5,3.716992683784665,4.311209578463914,87.8267707824707
2025-10-03T15:32:17Z,192.168.1.12,2,relu,228,256,0.0003,5,3.825051520484711,4.144519418574299,61.33877396583557
2025-10-03T15:33:20Z,192.168.1.12,2,relu,228,512,0.0003,5,4.065864017433236,4.309609320350397,48.256365060806274
2025-10-03T15:36:33Z,192.168.1.12,3,relu,228,32,0.0003,5,3.4851221708206905,4.7501140953815115,176.26031112670898
2025-10-03T15:38:33Z,192.168.1.12,3,relu,228,64,0.0003,5,3.6240287201929786,4.206930520488119,103.57341122627258
2025-10-03T15:39:53Z,192.168.1.12,3,relu,228,128,0.0003,5,3.7663712432536833,4.405321796216549,64.75970792770386
2025-10-03T15:40:55Z,192.168.1.12,3,relu,228,256,0.0003,5,3.9863210118241903,4.652077374238988,45.58226799964905
2025-10-03T15:41:47Z,192.168.1.12,3,relu,228,512,0.0003,5,4.341466105330244,4.867765275198874,36.70172095298767
2025-10-03T15:44:28Z,192.168.1.12,4,relu,228,32,0.0003,5,3.566280110765725,4.038905528792403,141.70814681053162
2025-10-03T15:46:14Z,192.168.1.12,4,relu,228,64,0.0003,5,3.686961282845687,4.123368805082943,86.55841207504272
2025-10-03T15:47:30Z,192.168.1.12,4,relu,228,128,0.0003,5,3.85491485980113,4.392444478785013,56.81279683113098
2025-10-03T15:48:29Z,192.168.1.12,4,relu,228,256,0.0003,5,4.1243563427421375,4.625527766814912,40.29300880432129
2025-10-03T15:49:21Z,192.168.1.12,4,relu,228,512,0.0003,5,4.548351947456528,4.933709223076993,32.49621224403381
2025-10-03T16:12:51Z,192.168.1.12,1,relu,228,32,0.0003,17,3.23012602734282,3.25438398599752,1396.4003372192383
